FILENAME;WORKSHEET;CELL;FAULTY;CELL_COLUMN;CELL_DISTANCE_TO_RELATIVE_COLUMN_BOOLEAN;CELL_DISTANCE_TO_RELATIVE_ROW_BOOLEAN;CELL_INCOMING_AREA_REFERENCES;CELL_INCOMING_CELL_REFERENCES;CELL_INCOMING_REFERENCES;CELL_INCOMING_REFERENCES_FROM_OTHER_WORKSHEETS;CELL_ROW;CELL_STANDARD_DEVIATION_COLUMN;CELL_STANDARD_DEVIATION_ROW;CELL_SUCCESSORS;CELL_SUCCESSORS_IN_OTHER_WORKSHEETS;FORMULACELL_CONDITIONAL_CONSTRUCT_COMPLEXITY;FORMULACELL_DISPERSION_OF_REFERENCES;FORMULACELL_LONGEST_CALCULATION_CHAIN;FORMULACELL_PREDECESSORS;FORMULACELL_PREDECESSORS_DISTANT;FORMULACELL_PREDECESSORS_EMPTY;FORMULACELL_PREDECESSORS_IN_DIFFERENT_COLUMNS;FORMULACELL_PREDECESSORS_IN_DIFFERENT_ROWS;FORMULACELL_PREDECESSORS_IN_OTHER_WORKSHEETS;FORMULACELL_PREDECESSORS_MIDDLEMAN;FORMULACELL_PREDECESSORS_REVERSE;FORMULACELL_RANGE_HEIGHT_GROWTH_CUMMULATIVE;FORMULACELL_RANGE_WIDTH_GROWTH_CUMMULATIVE;FORMULACELL_REACHABILITY;FORMULACELL_REACHABILITY_AVERAGE;FORMULACELL_REFERENCES_TO_OTHER_WORKSHEETS;FORMULACELL_REFERENCE_DISTANCE;FORMULACELL_REFERENCE_SPREADING_COLUMN;FORMULACELL_REFERENCE_SPREADING_ROW;FORMULACELL_REFERENCE_SPREADING_WORKSHEET;FORMULACELL_SIMILAR_CALCULATIONS;FORMULACELL_SIMILAR_FORMULAS;FORMULA_CONDITIONAL_COMPLEXITY;FORMULA_CONDITIONAL_OPERATIONS;FORMULA_DECISON_COUNT;FORMULA_LENGTH;FORMULA_NESTING_LEVEL_AVERAGE;FORMULA_NESTING_LEVEL_MAX;FORMULA_NUMBER_OF_AREA_REFERENCES;FORMULA_NUMBER_OF_BINARY_OPERATORS;FORMULA_NUMBER_OF_CELL_REFERENCES;FORMULA_NUMBER_OF_CONSTANTS;FORMULA_NUMBER_OF_FUNCTIO_OPERATORS;FORMULA_NUMBER_OF_NAME_REFERENCES;FORMULA_NUMBER_OF_OPERANDS;FORMULA_NUMBER_OF_OPERATORS;FORMULA_NUMBER_OF_PARENTHESIS_OPERATORS;FORMULA_NUMBER_OF_PERCENT_OPERATORS;FORMULA_NUMBER_OF_RANGE_REFERENCES;FORMULA_NUMBER_OF_REFERENCES;FORMULA_NUMBER_OF_UNARY_OPERATORS;FORMULA_NUMBER_OF_UNION_REFERENCES;WORKSHEET_CELLS;WORKSHEET_CELLS_FORMULA;WORKSHEET_COLUMNS;WORKSHEET_FORMULAS_UNIQUE;WORKSHEET_POSITION;WORKSHEET_PREDECESSORS;WORKSHEET_PREDECESSORS_IN_OTHER_WORKSHEETS;WORKSHEET_ROWS;WORKSHEET_SUCCESSORS;WORKSHEET_SUCCESSORS_IN_OTHER_WORKSHEETS
01.properties;Sheet1;A2;FALSE;1;25;10;0;0;0;0;2;-0.0;-0.0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;0;1;1.0;0;0;0;0;0;0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;G23;FALSE;7;5;1;0;0;0;0;23;0.40842020488363734;0.0;0;0;1;0.0;1;4;0;4;0;4;0;0;0;3;0;4;0.8;0;14;0;5;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;F23;FALSE;6;5;1;0;0;0;0;23;0.7302967433402215;0.0;0;0;1;0.0;1;4;0;4;0;4;0;0;0;3;0;4;0.8;0;14;0;5;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;G28;TRUE;7;5;1;0;0;0;0;28;0.40842020488363734;0.7071067811865475;0;0;1;0.0;1;1;0;0;0;1;0;0;0;0;0;1;0.5;0;3;0;3;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;F28;TRUE;6;5;1;0;0;0;0;28;1.0954451150103324;0.7071067811865475;0;0;1;0.0;1;1;0;0;0;1;0;0;0;0;0;1;0.5;0;3;0;3;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;G40;FALSE;7;12;1;0;0;0;0;40;0.40842020488363734;0.0;0;0;1;0.0;1;5;0;5;0;5;0;0;0;4;0;5;0.8333333333333334;0;15;0;5;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
01.properties;Sheet1;F40;FALSE;6;12;1;0;0;0;0;40;0.7302967433402215;0.0;0;0;1;0.0;1;5;0;5;0;5;0;0;0;4;0;5;0.8333333333333334;0;15;0;5;0;0;0;1;0;0;2;0.5;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;70;7;46;4;1;20;0;689;6;0
02.properties;Sheet1;I9;FALSE;9;1;10;1;0;1;0;9;0.20200946289178598;2.2446563178709122;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I10;FALSE;9;1;10;1;0;1;0;10;0.20200946289178598;2.2446570109384396;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I11;FALSE;9;1;10;1;0;1;0;11;0.20200946289178598;2.2446577036812343;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I12;FALSE;9;1;10;1;0;1;0;12;0.20200946289178598;2.2446583960992905;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I13;FALSE;9;1;10;1;0;1;0;13;0.20200946289178598;2.2446590881926025;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I14;FALSE;9;1;10;1;0;1;0;14;0.20200946289178598;2.2446597799611663;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I15;FALSE;9;1;10;1;0;1;0;15;0.20200946289178598;2.2446604714049765;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I16;FALSE;9;1;10;1;0;1;0;16;0.20200946289178598;2.2446611625240283;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I8;FALSE;9;1;10;0;0;0;0;8;0.20200946289178598;2.2446556244786544;0;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
02.properties;Sheet1;I25;FALSE;9;1;10;1;0;1;0;25;0.1951165103363338;2.244648293292831;1;0;1;0.0;1;2;0;0;2;0;0;0;0;0;0;2;0.6666666666666666;0;3;2;0;0;0;0;1;0;0;3;0.6666666666666666;1;0;1;2;0;0;0;2;1;0;0;0;2;0;0;211;26;9;2;1;74;0;34;26;0
