Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;ENRON+EUSES;0;0,02303550;0,00559347;0,01810684;0,01382625;0,00680331;0,01284460;0,01289651;0,04329264;0,11585725;0,05251459;0,01212356;0,00926339;0,00123121;0,00508496;0,02370056;0,01982292;0,00501369;0,00604394;0,01026848;0,00995173;0,00095277;0,00288593;0,00453764;0,00358004;0,00379707;0,00063135;0,02847723;0,00182407;0,02487871;0,02135151;0,01043556;0,00085615;0,00549117;0,03737688;0,00027715;0,00042311;0,00005748;0,01026281;0,00988553;0,00613575;0,00303181;0,00582674;0,01198596;0,01018549;0,00488511;0,00003971;0,00683087;0,00852272;0,00194521;0,00006730;0,00000000;0,01288490;0,00202178;0,00000000;0,03477230;0,06340437;0,02656307;0,04027032;0,03416264;0,05872494;0,01534989;0,01760239;0,04170432;0,01782486
feature importances;ENRON+EUSES;1;0,02416539;0,00624730;0,01773505;0,01163201;0,00657681;0,01138385;0,01339784;0,04488454;0,11445065;0,05536050;0,01260423;0,00387641;0,00096711;0,00487036;0,02464500;0,02320736;0,00531487;0,00648535;0,01150435;0,00851179;0,00113195;0,00252498;0,00451184;0,00434423;0,00365586;0,00061710;0,02836822;0,00100468;0,02390585;0,02281709;0,01076172;0,00055431;0,00672678;0,03636169;0,00030786;0,00035540;0,00002194;0,00780804;0,01088394;0,00622286;0,00308905;0,00786355;0,01082017;0,01001034;0,00685172;0,00005154;0,00481093;0,00663759;0,00150874;0,00003887;0,00000000;0,01545480;0,00173826;0,00000000;0,03612686;0,05950912;0,02654345;0,03716233;0,03056980;0,05616166;0,01630565;0,01958403;0,04261546;0,02583897
feature importances;ENRON+EUSES;2;0,02151392;0,00737945;0,01834927;0,01156991;0,00631343;0,01281184;0,01156197;0,04082185;0,10868288;0,05471646;0,01349364;0,00648471;0,00094372;0,00476661;0,02600028;0,02311207;0,00695854;0,00613121;0,01208068;0,00808487;0,00144261;0,00376339;0,00381958;0,00412558;0,00359864;0,00050445;0,02519231;0,00102752;0,02453570;0,01992010;0,00851913;0,00173782;0,00596847;0,03963140;0,00066657;0,00072593;0,00000000;0,00718939;0,00943931;0,00592664;0,00443993;0,00697825;0,01347848;0,00833047;0,00585879;0,00002651;0,00544580;0,00652703;0,00170343;0,00006879;0,00000000;0,01766937;0,00147815;0,00000000;0,03516644;0,06276701;0,02575379;0,03528549;0,03533605;0,06159429;0,01292323;0,02276860;0,04073032;0,02615791
feature importances;ENRON+EUSES;3;0,02294027;0,00632665;0,01602552;0,01812639;0,00796281;0,00995876;0,01432992;0,04229538;0,11215634;0,05350743;0,01277085;0,00557104;0,00146886;0,00574380;0,02425752;0,02244350;0,00574829;0,00660918;0,01268237;0,00786041;0,00093827;0,00318303;0,00414505;0,00418261;0,00304791;0,00046649;0,02986849;0,00183181;0,02520411;0,02307455;0,01019310;0,00126956;0,00669761;0,03671170;0,00072791;0,00032007;0,00005173;0,01058159;0,01019019;0,00470358;0,00282619;0,00554630;0,01240844;0,00909882;0,00372977;0,00000685;0,00519484;0,00621807;0,00136532;0,00005754;0,00000000;0,01540468;0,00193862;0,00000000;0,03442919;0,06243898;0,02449629;0,04040069;0,03357361;0,05038693;0,01865878;0,01787882;0,04384956;0,02391706
feature importances;ENRON+EUSES;4;0,02561886;0,00534799;0,01843312;0,01436257;0,00703047;0,00850169;0,00894310;0,04462006;0,11020542;0,05597014;0,01227282;0,00376061;0,00124735;0,00527475;0,02567911;0,02359158;0,00617246;0,00597699;0,01323107;0,01012359;0,00195781;0,00394547;0,00455441;0,00313980;0,00310010;0,00070809;0,02897524;0,00216811;0,02753905;0,02064768;0,00949615;0,00123134;0,00662734;0,03555991;0,00049042;0,00051343;0,00009256;0,00960909;0,01115918;0,00741165;0,00372452;0,00445780;0,01257261;0,00885072;0,00546305;0,00004131;0,00453874;0,00654708;0,00170796;0,00009978;0,00000000;0,01424255;0,00143723;0,00000000;0,03620451;0,06860379;0,02432587;0,03548445;0,03692983;0,05547294;0,01294302;0,02044388;0,04155823;0,01905956
feature importances;ENRON+EUSES;5;0,02202729;0,00569652;0,01484481;0,01550681;0,00598106;0,01169400;0,01188695;0,04433254;0,10983304;0,05739758;0,01251084;0,00624958;0,00080808;0,00568052;0,02309166;0,02121209;0,00600932;0,00636303;0,01080727;0,00828245;0,00139819;0,00473198;0,00432441;0,00491813;0,00395218;0,00047419;0,02808492;0,00150591;0,02831468;0,02115620;0,01054064;0,00111580;0,00578037;0,03896848;0,00036263;0,00038325;0,00005130;0,00947125;0,01198974;0,00628783;0,00398923;0,00563365;0,01267643;0,00853898;0,00458477;0,00006117;0,00595236;0,00559916;0,00194297;0,00003296;0,00000000;0,01448785;0,00206296;0,00000000;0,03246364;0,06360310;0,02485583;0,04027450;0,03015734;0,05645827;0,01882748;0,02172434;0,04526273;0,01678275
feature importances;ENRON+EUSES;6;0,02314118;0,00564754;0,01609029;0,01226848;0,00670267;0,01381143;0,01293472;0,04271015;0,11528319;0,05433995;0,01101954;0,00521178;0,00132715;0,00535176;0,02814674;0,02019502;0,00549627;0,00795491;0,01042515;0,00904302;0,00162543;0,00544895;0,00366704;0,00416975;0,00309928;0,00039741;0,03055544;0,00182058;0,02404193;0,02299735;0,01057939;0,00111502;0,00504973;0,03558679;0,00057357;0,00014382;0,00009840;0,00808393;0,01168866;0,00537952;0,00277700;0,00516933;0,00903838;0,00785572;0,00413509;0,00004797;0,00613500;0,00594599;0,00137044;0,00003501;0,00000000;0,01277543;0,00210324;0,00000000;0,03330515;0,07030712;0,02399292;0,03434070;0,03480818;0,06176592;0,02109793;0,01745910;0,04358950;0,01872193
feature importances;ENRON+EUSES;7;0,02470421;0,00517819;0,01669045;0,01323298;0,00739881;0,01174492;0,01611973;0,03990344;0,10624490;0,05539289;0,01231925;0,00557228;0,00091018;0,00576051;0,02669630;0,02351270;0,00586237;0,00559968;0,01255949;0,00914560;0,00160966;0,00423513;0,00466273;0,00480072;0,00318425;0,00029851;0,02571120;0,00276976;0,02174206;0,01818104;0,01052947;0,00185781;0,00532605;0,04035086;0,00034538;0,00059913;0,00001931;0,00923422;0,01026295;0,00656117;0,00381656;0,00578042;0,01030290;0,00720179;0,00514954;0,00006430;0,00419827;0,00547480;0,00203849;0,00002948;0,00000000;0,01618814;0,00172897;0,00000000;0,03554047;0,06888509;0,02629445;0,03898336;0,02994841;0,05394464;0,01478576;0,02420419;0,04384425;0,02476548
feature importances;ENRON+EUSES;8;0,02226830;0,00655315;0,01608700;0,01188208;0,00677974;0,01148977;0,01634450;0,04488599;0,10760008;0,05100708;0,01151918;0,00327808;0,00077258;0,00531165;0,02425078;0,02200397;0,00489169;0,00594584;0,01035328;0,00897716;0,00139069;0,00411295;0,00462574;0,00386146;0,00353243;0,00030211;0,02826882;0,00155632;0,02551660;0,02193266;0,01081198;0,00129207;0,00660132;0,03725530;0,00049016;0,00029685;0,00001882;0,00919422;0,01038373;0,00874574;0,00338206;0,00563180;0,01044253;0,00922011;0,00546130;0,00015777;0,00473533;0,00661679;0,00147836;0,00004222;0,00000000;0,01571675;0,00214123;0,00000000;0,03342464;0,06642689;0,02292918;0,03551323;0,02932412;0,05863138;0,01739385;0,02637396;0,04909443;0,02347017
feature importances;ENRON+EUSES;9;0,02226081;0,00523050;0,02066721;0,01001900;0,00693503;0,01113928;0,01240882;0,04331637;0,11528818;0,05592189;0,01529619;0,00438257;0,00104335;0,00531008;0,02265590;0,01965162;0,00584119;0,00573626;0,01477573;0,00896709;0,00155176;0,00367208;0,00426854;0,00519971;0,00358706;0,00087359;0,02833634;0,00164243;0,02288183;0,02010122;0,00964464;0,00080958;0,00551710;0,03695976;0,00023865;0,00017132;0,00000587;0,00834926;0,01071220;0,00649755;0,00400698;0,00791640;0,01200664;0,00750829;0,00502823;0,00000072;0,00518441;0,00646575;0,00132111;0,00005766;0,00000000;0,01623428;0,00161209;0,00000000;0,03454004;0,06544636;0,02540486;0,03884564;0,03120030;0,05564096;0,01610972;0,01665617;0,04243704;0,02850882
