Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;ENRON+INFO1+EUSES;0;0,03236362;0,00459268;0,00654696;0,00431933;0,01295939;0,01153588;0,00332323;0,02005875;0,04301890;0,02476285;0,01901937;0,00697739;0,01387250;0,02438465;0,04218604;0,01579636;0,00720141;0,00128413;0,01344679;0,02384728;0,00221614;0,00192164;0,00792806;0,00082805;0,00095570;0,00015755;0,01927654;0,00035287;0,01263136;0,01834329;0,00486770;0,00071409;0,00084578;0,04124379;0,00262872;0,00636052;0,00131995;0,02257422;0,04103485;0,02862434;0,00222320;0,02872596;0,00613680;0,02137613;0,00147091;0,00278071;0,03146670;0,01450309;0,01167292;0,00000000;0,00000000;0,02716258;0,00349691;0,00000000;0,01468967;0,04161651;0,03295615;0,04658723;0,00934162;0,03408437;0,00676855;0,02309441;0,05740612;0,03611679
feature importances;ENRON+INFO1+EUSES;1;0,01689368;0,00453183;0,00522039;0,00442921;0,02356620;0,01307207;0,00743086;0,01591709;0,04198085;0,02451826;0,00916872;0,00204841;0,01053828;0,00851096;0,03492861;0,01777865;0,01195190;0,00124656;0,01486386;0,02438317;0,00035269;0,00205618;0,00449760;0,00097440;0,00100537;0,00003117;0,01810205;0,00577132;0,01047561;0,03176035;0,01335102;0,00070466;0,00157576;0,04001469;0,00022205;0,00090401;0,00035594;0,01649277;0,01494157;0,06163284;0,00320520;0,02946788;0,01017101;0,02685361;0,00366947;0,00383152;0,06133340;0,02039382;0,01278755;0,00000920;0,00000000;0,03337373;0,00666708;0,00000000;0,02424621;0,02239499;0,03942657;0,02328751;0,01205920;0,03961682;0,00255377;0,03000956;0,02790305;0,04853726
feature importances;ENRON+INFO1+EUSES;2;0,03560693;0,00412907;0,00919476;0,00486660;0,01062259;0,01275344;0,00110718;0,01641386;0,04201120;0,02643991;0,00463739;0,00044713;0,01256931;0,00567580;0,02038292;0,02499821;0,00210574;0,00191223;0,01452271;0,02357828;0,00048716;0,00850891;0,00721225;0,00036313;0,00064210;0,00023698;0,02092328;0,00451707;0,01578448;0,03329697;0,01000107;0,00019195;0,00151609;0,04522150;0,00144682;0,00403231;0,00313938;0,01398269;0,02851598;0,02768422;0,00482256;0,04351457;0,01143043;0,02774237;0,00201188;0,00906717;0,02752192;0,02791337;0,01609738;0,00000000;0,00000000;0,01909663;0,00272968;0,00000000;0,04044022;0,03449934;0,03578661;0,03284009;0,00820289;0,03804504;0,00484556;0,02304500;0,04829338;0,04037427
feature importances;ENRON+INFO1+EUSES;3;0,03678210;0,00425746;0,00307754;0,00291217;0,01953305;0,00978315;0,00173519;0,01792507;0,03537132;0,02107410;0,00577383;0,01042687;0,01809672;0,01081273;0,03309732;0,03730909;0,00706087;0,00160404;0,01928346;0,02776886;0,00099784;0,00043262;0,00286562;0,00111673;0,00185188;0,00010813;0,01434426;0,00434917;0,01150057;0,03984719;0,00929032;0,00151876;0,00129094;0,03500296;0,00006534;0,00245506;0,00439395;0,02266123;0,02789701;0,03649358;0,00181841;0,03406992;0,01459591;0,01493081;0,00670260;0,00788416;0,04347080;0,01784149;0,01232901;0,00000000;0,00000000;0,03152473;0,00228449;0,00000000;0,02952321;0,04703945;0,03148735;0,01885371;0,00926981;0,04007417;0,00383594;0,03293766;0,02961433;0,02774392
feature importances;ENRON+INFO1+EUSES;4;0,02162022;0,00287600;0,02852591;0,00754607;0,01863009;0,01754349;0,00080875;0,01614431;0,04301299;0,02457269;0,00604495;0,00062664;0,01921312;0,00408016;0,00862124;0,01944479;0,00393250;0,00131641;0,01769652;0,02646968;0,00090708;0,00294812;0,00508125;0,00147461;0,00930526;0,00049833;0,02065386;0,00081911;0,01066892;0,02844750;0,00473712;0,00075658;0,00172615;0,04903969;0,00174722;0,00216168;0,00298167;0,02479326;0,02636513;0,02601118;0,00260547;0,03605999;0,01328724;0,02285673;0,00668679;0,01107517;0,02551391;0,02630165;0,01165129;0,00000000;0,00000000;0,03286385;0,00613790;0,00000000;0,02529648;0,04158640;0,03112432;0,01919394;0,00593845;0,03614784;0,00564538;0,02900817;0,06701448;0,03415435
feature importances;ENRON+INFO1+EUSES;5;0,03006018;0,00310846;0,00986152;0,00511810;0,01007926;0,00836432;0,00275666;0,01706621;0,03573042;0,02365731;0,01094862;0,00244145;0,00599343;0,00606700;0,02570526;0,01271134;0,00566134;0,00168004;0,02650668;0,03258874;0,00107096;0,01061952;0,00590284;0,00295548;0,00108963;0,00041392;0,03820399;0,00339519;0,01277335;0,02997870;0,00532110;0,00227857;0,00100080;0,02726530;0,00142745;0,00447267;0,00000070;0,03791246;0,03257474;0,02835286;0,00138858;0,02688716;0,02296116;0,01206683;0,00136807;0,00386623;0,04722210;0,01514232;0,01667181;0,00000864;0,00000000;0,01685010;0,00577727;0,00000000;0,02145525;0,03174357;0,02437826;0,03018342;0,01285400;0,05794324;0,00461131;0,03654985;0,05082193;0,03613233
feature importances;ENRON+INFO1+EUSES;6;0,03786563;0,00209214;0,00525725;0,01037509;0,00929398;0,01437402;0,00413861;0,01598713;0,03051611;0,02394583;0,00728549;0,00491981;0,00974410;0,00455839;0,01714311;0,01508866;0,00548336;0,00167942;0,01611357;0,02438740;0,00052316;0,00573470;0,00826406;0,00243365;0,00124513;0,00027897;0,01615285;0,00469040;0,01013214;0,02680450;0,00438616;0,00211035;0,00158687;0,04726839;0,00840746;0,00016658;0,00046045;0,03119142;0,02573872;0,03402149;0,00460088;0,03491993;0,02527122;0,02839616;0,00319466;0,00000000;0,03393593;0,01984410;0,01090115;0,00000000;0,00000000;0,03434625;0,00194429;0,00000000;0,03246622;0,06540706;0,01913326;0,02546406;0,01254065;0,03273834;0,00699016;0,03545498;0,03813151;0,04247264
feature importances;ENRON+INFO1+EUSES;7;0,02000544;0,00246217;0,00475432;0,00459780;0,01524067;0,01961041;0,00068409;0,01516798;0,04291914;0,02207864;0,01465418;0,00484053;0,01514868;0,00950181;0,01302608;0,02187916;0,00786953;0,00151172;0,02028345;0,03508673;0,00145020;0,00157113;0,00366889;0,00267691;0,00117023;0,00015990;0,02607990;0,00501230;0,01286352;0,02594824;0,00657491;0,00045557;0,00186221;0,02487009;0,00028640;0,00253801;0,00060880;0,02495913;0,01662457;0,03375436;0,00263130;0,02588607;0,03182237;0,03669281;0,00138709;0,00494840;0,02851918;0,01862474;0,00458090;0,00000000;0,00000000;0,02877383;0,00472202;0,00000000;0,02927465;0,03633311;0,05030513;0,03427082;0,00785793;0,06648215;0,00429656;0,02084525;0,03670041;0,04058747
feature importances;ENRON+INFO1+EUSES;8;0,02704886;0,00212676;0,00645041;0,00711095;0,01481345;0,01337369;0,00079573;0,01753009;0,03769500;0,02103547;0,00930109;0,00059749;0,00539675;0,01032377;0,01259783;0,02068418;0,00336296;0,00177025;0,01302750;0,02899549;0,00075580;0,00307420;0,00380469;0,00178035;0,00095461;0,00044499;0,02196249;0,00774938;0,01997603;0,05674276;0,00598330;0,00088288;0,00178607;0,02727353;0,00151234;0,00004395;0,00234206;0,01396357;0,03005228;0,03870394;0,00120952;0,03259619;0,03394776;0,02193635;0,00203905;0,00349780;0,04156013;0,01425622;0,00961135;0,00003264;0,00000000;0,03970980;0,00553757;0,00000000;0,03995799;0,06293918;0,02059490;0,02951443;0,00604530;0,03551649;0,01140433;0,02525986;0,03582989;0,03317628
feature importances;ENRON+INFO1+EUSES;9;0,02383950;0,00411012;0,00245612;0,00430894;0,02023968;0,01591098;0,00206618;0,01844798;0,03298192;0,02315911;0,00641973;0,00366924;0,01713258;0,00403151;0,01951143;0,02324153;0,00775569;0,00170002;0,01143678;0,02166465;0,00277556;0,00158221;0,00855432;0,00093765;0,00133827;0,00012668;0,02823391;0,00433109;0,02742908;0,02236357;0,00580473;0,00122004;0,00128086;0,02755628;0,00279175;0,00122240;0,01056962;0,01237015;0,02953810;0,04174470;0,00241881;0,04578456;0,00267279;0,04225897;0,00518729;0,00944666;0,02424167;0,02670578;0,01153153;0,00001601;0,00000000;0,02206289;0,00670307;0,00000000;0,04177139;0,01948391;0,04340301;0,04269188;0,00676855;0,03421577;0,00663943;0,01519672;0,04848381;0,04646084
feature importances;ENRON+INFO1+EUSES;10;0,03426918;0,00354146;0,01484269;0,00252254;0,00990810;0,00971322;0,00228443;0,01351632;0,04095693;0,02506913;0,01627559;0,00189550;0,00931884;0,00960002;0,01365883;0,03116341;0,00290757;0,00140526;0,00872564;0,02055602;0,00205989;0,00189264;0,00907503;0,00147173;0,00103980;0,00035653;0,01318063;0,00128788;0,00985933;0,03178815;0,00756950;0,00074071;0,00139499;0,02427622;0,00182656;0,00676285;0,00234998;0,02009914;0,03596141;0,04328729;0,00185782;0,03637461;0,01470801;0,03638915;0,01428968;0,00136371;0,04085923;0,02207943;0,01983337;0,00000000;0,00000000;0,02265986;0,00333288;0,00000000;0,03946602;0,02913376;0,01621819;0,02103748;0,00854279;0,02743400;0,00558642;0,05179904;0,05837358;0,04025003
feature importances;ENRON+INFO1+EUSES;11;0,02591265;0,00289829;0,00607659;0,00851419;0,01002190;0,01972698;0,00084057;0,01890847;0,04459341;0,02792215;0,01012045;0,00589043;0,01021877;0,00609890;0,02962640;0,02268847;0,00724124;0,00127181;0,01986067;0,02861617;0,00144336;0,00104745;0,00819876;0,00168174;0,00166501;0,00065602;0,01335011;0,00197275;0,01951620;0,03433851;0,00689848;0,00078330;0,00108396;0,02803389;0,00523396;0,00198300;0,00523401;0,01986031;0,02652535;0,03648492;0,00171238;0,02591600;0,01616220;0,04368540;0,00322605;0,00142637;0,03414943;0,03111643;0,01358643;0,00000590;0,00000000;0,01837014;0,00102391;0,00000000;0,02265399;0,04551985;0,03279982;0,02711700;0,00845805;0,04019421;0,00643809;0,01367521;0,03157488;0,05814871
feature importances;ENRON+INFO1+EUSES;12;0,03492864;0,00482692;0,00467863;0,00845963;0,01126331;0,01246448;0,00208206;0,01733435;0,04016211;0,02597599;0,00660380;0,00212232;0,02107635;0,00514823;0,02078016;0,03363388;0,01065380;0,00144972;0,00611643;0,02307563;0,00118487;0,00096783;0,00864052;0,00137735;0,00137145;0,00024709;0,02509009;0,00116170;0,01262044;0,02034177;0,01130630;0,00055408;0,00180202;0,04582650;0,00210259;0,00360846;0,00263088;0,00567043;0,03022818;0,05642890;0,00244930;0,03697450;0,00766646;0,02904136;0,00270600;0,00646356;0,03476523;0,02505855;0,00869272;0,00000000;0,00000000;0,02407486;0,00389773;0,00000000;0,04632423;0,04103388;0,01807641;0,02383702;0,01008681;0,05616586;0,00380812;0,02552215;0,03686232;0,03049502
feature importances;ENRON+INFO1+EUSES;13;0,02279159;0,00281021;0,00260524;0,01008435;0,01058731;0,03101819;0,00354775;0,01681317;0,04105649;0,02950871;0,00433589;0,00120941;0,01105404;0,01184195;0,01938830;0,04693594;0,00463405;0,00184177;0,02097801;0,02760586;0,00018108;0,00190248;0,00760214;0,00074118;0,00056394;0,00000653;0,01542864;0,00577201;0,01149510;0,03245210;0,00496197;0,00007841;0,00192463;0,04243114;0,01037604;0,00378862;0,00871594;0,01712304;0,01637262;0,03945567;0,00294177;0,02679666;0,01629017;0,01471485;0,00271346;0,00315429;0,03580440;0,02927624;0,02122823;0,00000000;0,00000000;0,02107902;0,00131694;0,00000000;0,04042344;0,03415293;0,03837564;0,03118339;0,00939526;0,02896386;0,00430217;0,01867573;0,04142561;0,03576444
feature importances;ENRON+INFO1+EUSES;14;0,02602609;0,00401310;0,00476934;0,00906817;0,01382621;0,02382027;0,00052116;0,01948253;0,03500628;0,02838548;0,00468150;0,00035018;0,01047896;0,00550808;0,01647785;0,03261691;0,01588148;0,00152591;0,01399350;0,02667880;0,00089665;0,00127321;0,00770315;0,00109185;0,00183108;0,00024886;0,01652523;0,00221772;0,01544754;0,02599365;0,00630587;0,00027594;0,00135618;0,04253391;0,00442762;0,00239654;0,00069303;0,01424720;0,05340060;0,03132370;0,00143130;0,03827920;0,02195446;0,02630133;0,00324126;0,00642762;0,04161421;0,01794990;0,01472705;0,00000000;0,00000000;0,02245740;0,00577456;0,00000000;0,03843291;0,03618393;0,02900508;0,01885000;0,00656898;0,04049600;0,00624632;0,02622597;0,04416908;0,03036210
