Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;ENRON+INFO1;0;0,03705939;0,00537181;0,01259696;0,00985041;0,00995809;0,01114330;0,00209547;0,00573162;0,01828776;0,02198619;0,01005624;0,00502617;0,01828340;0,01042838;0,00808734;0,02170482;0,00893656;0,00029877;0,02124338;0,01769446;0,00167429;0,00293804;0,01025090;0,00104537;0,00500072;0,00112569;0,02466005;0,00354829;0,01270809;0,04516182;0,00824839;0,00045421;0,00054716;0,03978125;0,00543098;0,00382985;0,00452544;0,04473510;0,04576103;0,04201897;0,00144543;0,04007930;0,01412416;0,02483424;0,00847294;0,00329324;0,03959082;0,04137387;0,01245339;0,00000000;0,00000000;0,01691286;0,00526370;0,00000000;0,03000826;0,04904525;0,01817912;0,02742022;0,00344907;0,03394955;0,00383997;0,02255386;0,02533234;0,01909224
feature importances;ENRON+INFO1;1;0,04104799;0,00513357;0,00936134;0,00755131;0,00689711;0,00794875;0,00220828;0,00446420;0,02042424;0,02030709;0,00962144;0,00246395;0,02026657;0,00730864;0,00779407;0,02413835;0,00986477;0,00022903;0,01898352;0,01901010;0,00123337;0,00331200;0,00807484;0,00147707;0,00437310;0,00104996;0,02249760;0,00248114;0,01402967;0,04532232;0,00732796;0,00060417;0,00026754;0,03530239;0,00519230;0,00338843;0,00478102;0,04326117;0,05508240;0,04550251;0,00178456;0,03536724;0,01737150;0,01787579;0,00840715;0,00372368;0,04365914;0,03765748;0,01405762;0,00000000;0,00000000;0,02077287;0,00504409;0,00000000;0,02782067;0,03806907;0,02257532;0,03200934;0,00711580;0,03309996;0,00859455;0,02640823;0,03350639;0,01549428
feature importances;ENRON+INFO1;2;0,03394732;0,00497394;0,01173863;0,00772446;0,01099986;0,01121471;0,00172440;0,00491087;0,02079427;0,01917523;0,01059531;0,00336582;0,02117587;0,00595406;0,00731870;0,02100500;0,01286921;0,00039609;0,02081614;0,01629494;0,00129456;0,00397238;0,00763826;0,00117739;0,00507190;0,00140786;0,02239822;0,00234219;0,01305342;0,04455393;0,00473087;0,00093788;0,00052231;0,04252465;0,00390691;0,00358765;0,00405007;0,04945488;0,04612546;0,04526297;0,00237597;0,03743528;0,01307105;0,01712076;0,00915029;0,00262555;0,04144515;0,04336544;0,01624953;0,00000000;0,00000000;0,01956788;0,00621313;0,00000000;0,03021232;0,03879064;0,02412233;0,03196871;0,00386610;0,03133568;0,00526412;0,02369113;0,03432578;0,01679456
feature importances;ENRON+INFO1;3;0,03828398;0,00402726;0,00897201;0,00953069;0,00735770;0,01573488;0,00176715;0,00600351;0,02134695;0,02584805;0,00900353;0,00373082;0,02144747;0,00831809;0,00865385;0,02287589;0,01166354;0,00032627;0,01817209;0,01880539;0,00165715;0,00298775;0,00893309;0,00133329;0,00581523;0,00108916;0,02230110;0,00202420;0,01497705;0,04090500;0,00790304;0,00077667;0,00063784;0,03038238;0,00312606;0,00384108;0,00236387;0,05128832;0,04732126;0,04901706;0,00219412;0,03300014;0,01862284;0,01753770;0,00844996;0,00566183;0,04129575;0,03949686;0,01278375;0,00000000;0,00000000;0,01709821;0,00518834;0,00000000;0,02957379;0,04270201;0,02591198;0,03138915;0,00393382;0,02413596;0,00515372;0,02695774;0,03239178;0,01597085
feature importances;ENRON+INFO1;4;0,03748004;0,00579730;0,00742746;0,00920488;0,00846654;0,00699262;0,00285345;0,00555350;0,02260326;0,02468202;0,01107102;0,00235771;0,02528306;0,00608569;0,00855797;0,02874388;0,00794388;0,00036380;0,01521327;0,01713845;0,00106961;0,00393454;0,00991084;0,00129210;0,00437542;0,00147922;0,02277641;0,00218701;0,01267906;0,03803475;0,00743304;0,00068890;0,00039524;0,03772005;0,00177173;0,00461046;0,00277410;0,04199349;0,05262374;0,04157105;0,00156177;0,03211545;0,01318934;0,02065897;0,00942144;0,00583417;0,04779608;0,03675190;0,01368793;0,00000000;0,00000000;0,02502721;0,00623043;0,00000000;0,02916890;0,04374793;0,02714856;0,03011423;0,00439954;0,03176227;0,00524336;0,03057801;0,02434170;0,01808022
feature importances;ENRON+INFO1;5;0,03706011;0,00412519;0,00751127;0,00795289;0,00663648;0,01119582;0,00193148;0,00504858;0,02320075;0,01997989;0,00712503;0,00241333;0,02002928;0,00828370;0,00948106;0,02279439;0,00893586;0,00029644;0,01795579;0,01992371;0,00177302;0,00304492;0,00933170;0,00155873;0,00565711;0,00169036;0,02111185;0,00286906;0,01423054;0,04970909;0,00830813;0,00149921;0,00038145;0,04118098;0,00274247;0,00507298;0,00247084;0,03698179;0,05154890;0,05460283;0,00142631;0,03505776;0,01634455;0,01226154;0,01309631;0,00332062;0,04235976;0,03636533;0,01400320;0,00000000;0,00000000;0,02003276;0,00553225;0,00000000;0,02465721;0,03944310;0,02339367;0,03364164;0,00568181;0,03127891;0,00573600;0,02795568;0,03369491;0,01706963
feature importances;ENRON+INFO1;6;0,03401504;0,00528417;0,00546349;0,00774370;0,00605191;0,00730378;0,00198603;0,00515280;0,02224922;0,02171379;0,01245792;0,00283237;0,02206645;0,00793770;0,00873390;0,02234794;0,01172818;0,00041944;0,01615082;0,01946038;0,00090317;0,00234819;0,00971007;0,00106282;0,00428805;0,00175021;0,02017470;0,00272552;0,01421773;0,04550818;0,00830055;0,00090006;0,00044158;0,04171220;0,00310897;0,00309583;0,00272742;0,03825480;0,04822387;0,06024597;0,00149002;0,03795026;0,01806113;0,02041959;0,00816911;0,00441260;0,03954501;0,03274946;0,01151993;0,00000000;0,00000000;0,02937067;0,00741341;0,00000000;0,02986781;0,03841618;0,02388640;0,03416120;0,00582879;0,02908091;0,00572707;0,02631391;0,02812470;0,01669291
feature importances;ENRON+INFO1;7;0,03448911;0,00492654;0,01192875;0,00974103;0,00748300;0,01070465;0,00232209;0,00598211;0,01833308;0,02245478;0,01003099;0,00202733;0,01918669;0,00910429;0,01161586;0,01860711;0,01132686;0,00033772;0,01726515;0,02083546;0,00204210;0,00265845;0,01100682;0,00162478;0,00507128;0,00139587;0,02545995;0,00247317;0,01134955;0,04848183;0,00738123;0,00112526;0,00045667;0,03416101;0,00342514;0,00518750;0,00287447;0,04363040;0,05024212;0,05016079;0,00162238;0,03437825;0,02178526;0,02099360;0,00911990;0,00392193;0,03400294;0,03330019;0,01066098;0,00000000;0,00000000;0,01991367;0,00574765;0,00000000;0,03612972;0,03869817;0,02428004;0,03135186;0,00420823;0,02753415;0,00825470;0,02696410;0,02803910;0,02018214
feature importances;ENRON+INFO1;8;0,03745419;0,00482405;0,00949095;0,00948012;0,00747351;0,00886341;0,00173455;0,00534784;0,01993867;0,02390604;0,01068228;0,00191634;0,02047331;0,01006728;0,00958460;0,02395748;0,00974198;0,00046335;0,01859660;0,01902270;0,00178930;0,00374865;0,01012066;0,00166272;0,00469727;0,00154801;0,02193065;0,00210965;0,01299252;0,04813790;0,00725170;0,00167001;0,00034180;0,03179201;0,00391663;0,00410475;0,00513293;0,04574771;0,05108344;0,04652398;0,00191208;0,02818184;0,01244377;0,02782912;0,00763324;0,00456095;0,03683666;0,03333317;0,01891586;0,00000000;0,00000000;0,02127586;0,00748924;0,00000000;0,02549713;0,04259772;0,02417370;0,03562102;0,00386183;0,02514838;0,00374565;0,02824608;0,03233547;0,01903970
feature importances;ENRON+INFO1;9;0,03718232;0,00497931;0,00986144;0,00967410;0,01034707;0,00922277;0,00303689;0,00511446;0,01758355;0,01944125;0,00744888;0,00194225;0,02156466;0,00936721;0,00907925;0,02468799;0,00954004;0,00029429;0,01859884;0,01994578;0,00178241;0,00258048;0,00942505;0,00136012;0,00424303;0,00112195;0,02124406;0,00186617;0,01197951;0,04354191;0,00596922;0,00120718;0,00029775;0,03195899;0,00479887;0,00506832;0,00452223;0,04334419;0,05449573;0,04668667;0,00128709;0,03190015;0,01755709;0,02140911;0,00777128;0,00437536;0,05252797;0,04123676;0,01345884;0,00000000;0,00000000;0,01267681;0,00568188;0,00000000;0,03169026;0,03451281;0,02104762;0,03583463;0,00516202;0,02613137;0,00651755;0,03240020;0,03206618;0,01834883
