Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;ENRON;0;0,04200313;0,01008560;0,01323442;0,01134021;0,00279920;0,00636762;0,00963237;0,01093131;0,01112021;0,01865811;0,00757473;0,01008116;0,00220897;0,00911193;0,01622590;0,02043003;0,01491008;0,00811028;0,01519959;0,01335302;0,00035404;0,00160741;0,00313275;0,01108607;0,00511830;0,00124217;0,02623597;0,00274437;0,05124360;0,04401198;0,01268010;0,00008981;0,00235801;0,03917802;0,00002264;0,00012936;0,00000000;0,03209328;0,02021020;0,01927333;0,00721598;0,05784363;0,04176033;0,00544444;0,00394861;0,00120251;0,03100448;0,01392255;0,00152040;0,00000000;0,00000000;0,02112090;0,00037527;0,00000000;0,03139299;0,03489214;0,05594149;0,04441503;0,02008600;0,02960264;0,02198126;0,01340657;0,02652225;0,01021121
feature importances;ENRON;1;0,03996166;0,01000632;0,01185149;0,00537496;0,00206790;0,00879322;0,00725925;0,01261230;0,01194144;0,02317505;0,00580237;0,01029100;0,00355074;0,01052573;0,01569371;0,02408004;0,01280507;0,00363864;0,01859451;0,01886407;0,00125113;0,00476091;0,00108237;0,00445444;0,00642278;0,00098343;0,02983029;0,00289251;0,05251194;0,03747613;0,01003174;0,00012290;0,00227528;0,02358929;0,00126635;0,00086595;0,00000000;0,02907498;0,01440580;0,02132502;0,00695059;0,05981455;0,04336344;0,00318502;0,00188604;0,00000000;0,04069148;0,01132497;0,00089881;0,00000000;0,00000000;0,01761076;0,00090123;0,00000000;0,02605805;0,03788770;0,04741822;0,03622960;0,02068740;0,04555607;0,03805334;0,01724635;0,03529494;0,00742874
feature importances;ENRON;2;0,05435069;0,01198636;0,01284933;0,00606783;0,00419319;0,00559293;0,01271738;0,01371987;0,01128984;0,03008824;0,00517024;0,00687924;0,00456446;0,01073580;0,01084114;0,02423648;0,01485669;0,00392444;0,01246438;0,01473115;0,00010285;0,00290127;0,00291131;0,00461191;0,00289062;0,00132902;0,02139149;0,00011195;0,04274760;0,03924895;0,01152058;0,00000814;0,00261868;0,02013070;0,00000000;0,00003813;0,00000000;0,03565361;0,02021623;0,02200593;0,00665241;0,06397330;0,04316003;0,00706439;0,00524699;0,00000000;0,03051873;0,01457644;0,00315564;0,00000000;0,00000000;0,02731222;0,00034892;0,00000000;0,03010891;0,03602487;0,04372706;0,03970164;0,02534109;0,04130558;0,02630091;0,01594742;0,02833620;0,00949860
feature importances;ENRON;3;0,04048050;0,00707398;0,01296525;0,00744864;0,00360362;0,00641066;0,01194070;0,01143221;0,01213058;0,01776757;0,00668205;0,01209091;0,00316949;0,01237591;0,01949516;0,02915013;0,01690725;0,00581481;0,01399046;0,01383526;0,00051160;0,00415854;0,00240032;0,00582272;0,00510224;0,00088155;0,02223250;0,00034793;0,04743741;0,04697537;0,01242736;0,00000000;0,00187868;0,04171556;0,00000434;0,00055608;0,00000000;0,03669175;0,01401831;0,01383014;0,00809821;0,06232089;0,04349472;0,00628278;0,00368175;0,00000000;0,02994943;0,01376180;0,00125404;0,00000000;0,00000000;0,02336969;0,00145907;0,00000000;0,03088943;0,03835795;0,04124388;0,04249706;0,02367298;0,03523283;0,02341978;0,01685896;0,02762602;0,00477117
feature importances;ENRON;4;0,03611856;0,00923741;0,01383354;0,00976561;0,00217419;0,00560557;0,00953480;0,01193111;0,01311061;0,02441844;0,00639579;0,01342759;0,00205920;0,01214278;0,01975074;0,02258655;0,01255480;0,00403372;0,00966044;0,01605462;0,00040052;0,00201556;0,00195482;0,00753735;0,00718257;0,00130332;0,02417076;0,00394697;0,05306134;0,04619338;0,01282987;0,00041217;0,00104663;0,02056007;0,00000290;0,00046072;0,00000000;0,04277471;0,01776740;0,01849224;0,00432804;0,06381375;0,04856693;0,00195262;0,00382942;0,00000000;0,02836467;0,01467536;0,00104549;0,00000000;0,00000000;0,01851567;0,00122035;0,00000000;0,02866281;0,03823472;0,05376071;0,03579262;0,02163748;0,03825375;0,02186246;0,01830172;0,03381569;0,00685636
feature importances;ENRON;5;0,05481376;0,00859285;0,01100369;0,01027079;0,00256359;0,00611786;0,01063800;0,01295659;0,01106914;0,02741314;0,00649485;0,01303813;0,00058799;0,01229927;0,01607922;0,02239343;0,00858163;0,00402240;0,01453710;0,02062230;0,00025103;0,00299057;0,00165367;0,01015630;0,00550967;0,00069513;0,02487169;0,00073771;0,05246618;0,03280989;0,01359398;0,00172318;0,00175409;0,02543895;0,00000484;0,00140819;0,00000000;0,03363041;0,01742539;0,01474923;0,00369529;0,06931313;0,04800640;0,00428969;0,00431022;0,00000000;0,03399852;0,00869714;0,00038801;0,00000000;0,00000000;0,01508204;0,00319282;0,00000000;0,02201755;0,03233885;0,05009636;0,05148041;0,02353391;0,03825680;0,02446201;0,01461425;0,03036958;0,00589117
feature importances;ENRON;6;0,04011785;0,00958265;0,01399429;0,00939324;0,00344129;0,00401188;0,01011154;0,01070485;0,01385089;0,02868540;0,00627519;0,01073400;0,00003088;0,00963851;0,01875871;0,02094149;0,01780840;0,00410300;0,01604859;0,01634321;0,00018683;0,00303255;0,00249291;0,00761410;0,00520476;0,00018786;0,02349284;0,00008159;0,06005538;0,03226563;0,01034200;0,00151944;0,00202431;0,02145367;0,00000668;0,00130531;0,00000000;0,03818552;0,01678379;0,02294393;0,00640197;0,06677538;0,04518471;0,00417855;0,00376766;0,00000000;0,03290554;0,01357143;0,00048872;0,00000000;0,00000000;0,01746367;0,00065372;0,00000000;0,03243160;0,04613199;0,05364501;0,03847696;0,02310588;0,03282169;0,02120790;0,01292456;0,02817043;0,00593767
feature importances;ENRON;7;0,03496422;0,00749355;0,00911242;0,01006410;0,00273689;0,00408846;0,00738886;0,01193778;0,01340821;0,02750608;0,00636298;0,00898798;0,00451875;0,01242276;0,01161101;0,02559149;0,01362857;0,00398101;0,01209492;0,01687052;0,00145016;0,00197174;0,00305551;0,00701181;0,00763420;0,00117689;0,02168320;0,00016739;0,05969623;0,03959967;0,01354215;0,00008592;0,00148471;0,02678294;0,00000000;0,00000000;0,00000000;0,03390079;0,01504519;0,01855891;0,00508465;0,06114469;0,04495593;0,00345955;0,00326026;0,00000000;0,03109662;0,01475132;0,00143917;0,00000000;0,00000000;0,01494411;0,00086355;0,00000000;0,02971764;0,04618413;0,05202570;0,04421531;0,02416880;0,04122747;0,01999288;0,02081391;0,03676548;0,00627087
feature importances;ENRON;8;0,04422920;0,00603883;0,01160066;0,01166965;0,00173352;0,00367365;0,00866465;0,01237035;0,01349345;0,02635821;0,00850329;0,01065938;0,00444295;0,01133645;0,02083503;0,02005035;0,00916871;0,00504259;0,01392108;0,01478352;0,00094936;0,00349859;0,00169479;0,00673085;0,00443634;0,00098083;0,01944299;0,00042135;0,04880859;0,04568098;0,01375591;0,00000992;0,00203806;0,03141842;0,00020252;0,00000000;0,00000000;0,02965285;0,02162787;0,01590873;0,00493426;0,06909407;0,04834913;0,00436677;0,00502845;0,00000000;0,02429692;0,01462611;0,00191275;0,00000000;0,00000000;0,01880358;0,00093546;0,00000000;0,02634871;0,04208918;0,05496754;0,03981066;0,02506722;0,03696621;0,01985562;0,01576384;0,03316654;0,00778249
feature importances;ENRON;9;0,03420832;0,00983063;0,00824379;0,01623422;0,00315339;0,00604717;0,00948709;0,01156990;0,01248376;0,03004873;0,00462990;0,01151507;0,00206508;0,01007728;0,01753918;0,02517237;0,01355806;0,00427432;0,00981979;0,01214552;0,00137543;0,00239464;0,00228648;0,00679230;0,00494385;0,00125176;0,02258493;0,00195026;0,05294265;0,04515767;0,01343695;0,00034348;0,00194172;0,02636251;0,00076597;0,00001483;0,00000000;0,04164567;0,01622924;0,01845767;0,00604483;0,06533460;0,04556361;0,00419403;0,00293025;0,00000000;0,03082909;0,01033355;0,00348267;0,00000000;0,00000000;0,01853721;0,00150145;0,00000000;0,03117036;0,04340875;0,04555795;0,03778763;0,02673458;0,03385492;0,02455944;0,01866569;0,02735124;0,00917659
