Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;EUSES;0;0,02346336;0,00510921;0,00841074;0,00577843;0,00796191;0,00789902;0,00179342;0,06269904;0,12867163;0,06476409;0,00742514;0,00112225;0,00145484;0,00586855;0,02305736;0,01470152;0,00324857;0,00533662;0,01810300;0,00658743;0,00185178;0,00139339;0,00466954;0,00301590;0,00375685;0,00027491;0,04461634;0,00144413;0,01921997;0,01069020;0,01155839;0,00083563;0,00940484;0,03643643;0,00048073;0,00102119;0,00001389;0,00673116;0,01341882;0,00781774;0,00159223;0,00496031;0,00891536;0,02301712;0,00172641;0,00005509;0,00438662;0,00686019;0,00100291;0,00005317;0,00000000;0,01589289;0,00172052;0,00000000;0,03332890;0,08932419;0,01566285;0,02342976;0,04526703;0,06348440;0,01140011;0,01644359;0,04304716;0,00632123
feature importances;EUSES;1;0,02076666;0,00596212;0,00703658;0,00531351;0,00681259;0,00888415;0,00137546;0,06328497;0,14552759;0,06224630;0,00720983;0,00210387;0,00265231;0,00706103;0,02662457;0,01793869;0,00473717;0,00556720;0,01820433;0,00801214;0,00141621;0,00062754;0,00479513;0,00374862;0,00315444;0,00015178;0,03438146;0,00146090;0,01697304;0,00975953;0,00998230;0,00172753;0,01081288;0,03819725;0,00052272;0,00110347;0,00008452;0,01045059;0,00886775;0,00520031;0,00211175;0,00418002;0,00978923;0,02330251;0,00222200;0,00000000;0,00589466;0,00817421;0,00130785;0,00007988;0,00000000;0,01292040;0,00174181;0,00000000;0,03113660;0,08980291;0,01464587;0,01971451;0,04688189;0,05829452;0,01202310;0,01458079;0,04557996;0,00487652
feature importances;EUSES;2;0,02098174;0,00572791;0,00707537;0,00643155;0,00778487;0,00894259;0,00097546;0,06259593;0,13080904;0,05949088;0,00641043;0,00238385;0,00189892;0,00774007;0,03007269;0,01855120;0,00601083;0,00430235;0,02042258;0,00719571;0,00171418;0,00119608;0,00460490;0,00364114;0,00324914;0,00010806;0,03496682;0,00285489;0,02201669;0,00823660;0,00870977;0,00059386;0,01066277;0,03662997;0,00083329;0,00053503;0,00002573;0,00973661;0,01016792;0,00519155;0,00171382;0,00449548;0,00985678;0,01982916;0,00317488;0,00000000;0,00446572;0,00786590;0,00164303;0,00010149;0,00000000;0,01453914;0,00192426;0,00000000;0,03388717;0,09577532;0,01509064;0,01858230;0,04245211;0,06043041;0,01372872;0,01509199;0,04957563;0,00429710
feature importances;EUSES;3;0,02264241;0,00787158;0,00819649;0,00517887;0,00686476;0,00838388;0,00104982;0,06949557;0,14240905;0,06516729;0,00851211;0,00110924;0,00105005;0,00701818;0,02819592;0,01668932;0,00395748;0,00438182;0,01837675;0,00661047;0,00175221;0,00054164;0,00444484;0,00270163;0,00372878;0,00033299;0,03859266;0,00103385;0,02144128;0,00934481;0,01055855;0,00147716;0,00948511;0,03637267;0,00093618;0,00121113;0,00024810;0,00704650;0,01094631;0,00485089;0,00178539;0,00499587;0,00809054;0,01779236;0,00314923;0,00008284;0,00637718;0,00659618;0,00168600;0,00010387;0,00000000;0,01250717;0,00117635;0,00000000;0,02558066;0,08417931;0,02087955;0,02159503;0,04248259;0,05745497;0,01358401;0,01621890;0,04831074;0,00516288
feature importances;EUSES;4;0,02074989;0,00708391;0,01042924;0,00454351;0,00877769;0,00923947;0,00070626;0,06100174;0,12451340;0,06130073;0,00735773;0,00114580;0,00094584;0,00667164;0,02885039;0,01781358;0,00366186;0,00382682;0,01883461;0,00912627;0,00148464;0,00084738;0,00451357;0,00392483;0,00428970;0,00030057;0,04386348;0,00110581;0,02161221;0,00989638;0,01108093;0,00110388;0,01136499;0,03994973;0,00106673;0,00023372;0,00000968;0,00891967;0,01154200;0,00614351;0,00169798;0,00402208;0,00831320;0,01590611;0,00295585;0,00000000;0,00451494;0,00655396;0,00124485;0,00011614;0,00000000;0,01777724;0,00140605;0,00000000;0,02813780;0,09202983;0,01806167;0,02155412;0,04502664;0,05724853;0,01072246;0,01516273;0,05158176;0,00613229
feature importances;EUSES;5;0,02222087;0,00603170;0,00793626;0,00645585;0,00757276;0,00910151;0,00124463;0,06619224;0,13119549;0,06943856;0,00681725;0,00124308;0,00161570;0,00725805;0,02765905;0,01329406;0,00489234;0,00461277;0,02050154;0,00646193;0,00153786;0,00113472;0,00725557;0,00235818;0,00388644;0,00017609;0,03576118;0,00092486;0,01999871;0,00998718;0,01071429;0,00065625;0,00950925;0,04420736;0,00266023;0,00077692;0,00000022;0,00943320;0,00973331;0,00651388;0,00177812;0,00508478;0,00862755;0,01815867;0,00212233;0,00000015;0,00608216;0,00650947;0,00140012;0,00005046;0,00000000;0,01290803;0,00222845;0,00000000;0,02489157;0,09539357;0,01832850;0,01929021;0,04274496;0,05633071;0,01464681;0,01499470;0,04470756;0,00474978
feature importances;EUSES;6;0,01977401;0,00684276;0,00740792;0,00496771;0,00736485;0,00754474;0,00087966;0,06752579;0,13566688;0,06927086;0,00681944;0,00124988;0,00108957;0,00671504;0,02982834;0,02329855;0,00516451;0,00382403;0,01614150;0,00756114;0,00263837;0,00068724;0,00455685;0,00279802;0,00290882;0,00023358;0,03305371;0,00156834;0,01866345;0,00850166;0,01044959;0,00057431;0,00970416;0,04477729;0,00091655;0,00108463;0,00001089;0,00825574;0,00745452;0,00507558;0,00130236;0,00402963;0,00850185;0,01687449;0,00243935;0,00000742;0,00864566;0,00422962;0,00098543;0,00003339;0,00000000;0,01549498;0,00181535;0,00000000;0,02760705;0,09333638;0,01773315;0,01974700;0,04155049;0,06121889;0,01218309;0,01647265;0,04750517;0,00543614
feature importances;EUSES;7;0,02075723;0,00573495;0,00786945;0,00510305;0,00776305;0,01046985;0,00056686;0,05928223;0,13821702;0,06254796;0,00809164;0,00147411;0,00105543;0,00640755;0,02885838;0,02669640;0,00454210;0,00457532;0,01699310;0,00681784;0,00237395;0,00106917;0,00383928;0,00392507;0,00428283;0,00032932;0,03789298;0,00186964;0,01898423;0,01240915;0,01090478;0,00143146;0,01227603;0,04030825;0,00069753;0,00054533;0,00000000;0,01044008;0,00858110;0,00369068;0,00162413;0,00424729;0,00855510;0,01150407;0,00163547;0,00002683;0,00428494;0,00620654;0,00138247;0,00003294;0,00000000;0,01497824;0,00193526;0,00000000;0,02485715;0,09017846;0,01311245;0,01818202;0,04698148;0,06049026;0,01244212;0,01705472;0,05440737;0,00620633
feature importances;EUSES;8;0,02643600;0,00610722;0,00831419;0,00475952;0,00703711;0,00875994;0,00313194;0,06206497;0,13448316;0,05973778;0,00874710;0,00100912;0,00081737;0,00540917;0,03219022;0,01863393;0,00266511;0,00439754;0,01974506;0,00785289;0,00180835;0,00081131;0,00400451;0,00364652;0,00373008;0,00041606;0,03659303;0,00096236;0,02115791;0,00964731;0,01026290;0,00119104;0,01019098;0,03631262;0,00167226;0,00088900;0,00003638;0,00883430;0,01021702;0,00537675;0,00114891;0,00410142;0,00995308;0,01932473;0,00259687;0,00000139;0,00698487;0,00534077;0,00137276;0,00014912;0,00000000;0,00950208;0,00180922;0,00000000;0,03512124;0,08791830;0,01562863;0,01764000;0,05004536;0,05786948;0,01404599;0,01769662;0,04756445;0,00412467
feature importances;EUSES;9;0,02187742;0,00687328;0,00793285;0,00577845;0,00728806;0,00968000;0,00115621;0,06057632;0,14178959;0,06318032;0,00948474;0,00118774;0,00224514;0,00674138;0,03139871;0,01819655;0,00426698;0,00431671;0,01923967;0,00744295;0,00147351;0,00056388;0,00437161;0,00419700;0,00371974;0,00014037;0,03301996;0,00067331;0,02069928;0,01057066;0,01200471;0,00066188;0,00977014;0,04009655;0,00111971;0,00095016;0,00005084;0,00827388;0,01180938;0,00582023;0,00133520;0,00436022;0,01012489;0,01873503;0,00360161;0,00007705;0,00621518;0,00572030;0,00139343;0,00007727;0,00000000;0,01302313;0,00156870;0,00000000;0,02542651;0,09111911;0,01471329;0,02179595;0,03556718;0,06251169;0,01390893;0,01944760;0,04252884;0,00610901
feature importances;EUSES;10;0,02354654;0,00643123;0,00642127;0,00499057;0,00565893;0,00836328;0,00108846;0,06256219;0,13176004;0,06029160;0,00983012;0,00167855;0,00141315;0,00684426;0,02886501;0,01579905;0,00407685;0,00416043;0,01753799;0,00676724;0,00232982;0,00135632;0,00368436;0,00243199;0,00474956;0,00019489;0,03824928;0,00144698;0,02019301;0,01019758;0,01070509;0,00172843;0,00966122;0,04361689;0,00065934;0,00063949;0,00005686;0,00942956;0,00811237;0,00600619;0,00225017;0,00620309;0,01145871;0,02043619;0,00416076;0,00000000;0,00739020;0,00827181;0,00143224;0,00012715;0,00000000;0,01531833;0,00245859;0,00000000;0,02813720;0,09945221;0,01667601;0,01936251;0,03881316;0,05487076;0,01359311;0,01406754;0,04745029;0,00453396
feature importances;EUSES;11;0,02008632;0,00621902;0,00736723;0,00659716;0,00727057;0,00761801;0,00135579;0,06616826;0,13572220;0,06072503;0,00765415;0,00133008;0,00169002;0,00646946;0,02685901;0,01847013;0,00350272;0,00433246;0,01499711;0,00691471;0,00187988;0,00124102;0,00330330;0,00354716;0,00444379;0,00024870;0,03917632;0,00187547;0,02083015;0,01014876;0,01178836;0,00048723;0,01031671;0,04270274;0,00164498;0,00063830;0,00000000;0,01037819;0,00865014;0,00535174;0,00143381;0,00403447;0,01036481;0,01772610;0,00212795;0,00010666;0,00379235;0,00605102;0,00120947;0,00008078;0,00000000;0,01186902;0,00186927;0,00000000;0,03583443;0,08436713;0,01835175;0,01825632;0,04710214;0,05983378;0,01256848;0,01634296;0,05127391;0,00540100
feature importances;EUSES;12;0,02287866;0,00714653;0,01051349;0,00533135;0,00775636;0,00876318;0,00192498;0,06632343;0,12729934;0,06198471;0,00939646;0,00135603;0,00103639;0,00490707;0,02990359;0,02233328;0,00307276;0,00488571;0,01892957;0,00661614;0,00184452;0,00075074;0,00436855;0,00320860;0,00445570;0,00014594;0,03389462;0,00207319;0,02149216;0,01130870;0,00925128;0,00176470;0,01025924;0,03795554;0,00076844;0,00071773;0,00009116;0,01121060;0,00748992;0,00523678;0,00269114;0,00533658;0,00871786;0,01986962;0,00339363;0,00005920;0,00492001;0,00622877;0,00076290;0,00007783;0,00000000;0,00958847;0,00187110;0,00000000;0,02553609;0,08793668;0,01521284;0,02077845;0,04774144;0,06341182;0,01048259;0,01557525;0,05384431;0,00531626
feature importances;EUSES;13;0,01915688;0,00594330;0,00945023;0,00567516;0,00755971;0,00876060;0,00180820;0,06586115;0,12923970;0,06257579;0,00933707;0,00098665;0,00163868;0,00666520;0,02708272;0,02730022;0,00278688;0,00401918;0,01643110;0,00749480;0,00032844;0,00162094;0,00465963;0,00278524;0,00368488;0,00030045;0,02677336;0,00115602;0,01936480;0,01024106;0,00970500;0,00074363;0,00945481;0,03558523;0,00225613;0,00252059;0,00000700;0,00881929;0,01034152;0,00582004;0,00162523;0,00405551;0,00838404;0,01919020;0,00314887;0,00000527;0,00617383;0,00688075;0,00139622;0,00001463;0,00000000;0,01899327;0,00188605;0,00000000;0,03031612;0,09467187;0,01468098;0,02413946;0,04732658;0,05986216;0,01270847;0,01658474;0,04718551;0,00482897
feature importances;EUSES;14;0,02216136;0,00655713;0,00901806;0,00558698;0,00736686;0,00907293;0,00153213;0,06171651;0,12991304;0,06533128;0,00820899;0,00114381;0,00133863;0,00568995;0,02804937;0,01855168;0,00378034;0,00486552;0,02077763;0,00714161;0,00049211;0,00067305;0,00459387;0,00278435;0,00384846;0,00016022;0,03604902;0,00195313;0,02050120;0,01073105;0,00986309;0,00099235;0,00934480;0,03960098;0,00055148;0,00049468;0,00000347;0,00812626;0,00928731;0,00730869;0,00166500;0,00452925;0,00919040;0,02432233;0,00176740;0,00005046;0,00648552;0,00713037;0,00111834;0,00004874;0,00000000;0,01150477;0,00153787;0,00000000;0,03240309;0,09544869;0,01652090;0,02174977;0,04093525;0,06369046;0,01241251;0,01579765;0,04159000;0,00493782
feature importances;EUSES;15;0,02175644;0,00581985;0,00651304;0,00651451;0,00714277;0,00887687;0,00137074;0,05900061;0,13612184;0,06367926;0,00676833;0,00082696;0,00064254;0,00720683;0,02704921;0,01848256;0,00294376;0,00469557;0,01761653;0,00764640;0,00094754;0,00130977;0,00390627;0,00412799;0,00237001;0,00019915;0,03698448;0,00211895;0,01895532;0,01208610;0,01057277;0,00033242;0,00983622;0,03687936;0,00060126;0,00078297;0,00000000;0,01067955;0,00828332;0,00567842;0,00128371;0,00434588;0,01285647;0,02090211;0,00185301;0,00004966;0,00839719;0,00571959;0,00138432;0,00003186;0,00000000;0,01465079;0,00185648;0,00000000;0,03464035;0,09048344;0,01594211;0,01947104;0,04024127;0,05840532;0,01349448;0,01866415;0,05363288;0,00436739
