Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;INFO1+EUSES;0;0,02643383;0,00333999;0,00619812;0,00323899;0,01219781;0,02421818;0,00147221;0,01805324;0,03879462;0,02318908;0,00784909;0,00149582;0,00262655;0,00413724;0,01906739;0,01036089;0,00274076;0,00103543;0,02491188;0,02698503;0,00293920;0,00227521;0,01060056;0,00528590;0,00377797;0,00016662;0,01829420;0,00562316;0,00967008;0,02853036;0,00683702;0,00038518;0,00152001;0,03731916;0,00177556;0,00064395;0,00368206;0,02941847;0,04274958;0,04702305;0,00167956;0,01717115;0,00831807;0,01697178;0,00882769;0,00198105;0,02579616;0,05172810;0,02741234;0,00000986;0,00000000;0,00741748;0,00372953;0,00000000;0,02318594;0,05736508;0,02037993;0,04137366;0,01874538;0,03896322;0,00432079;0,05230013;0,04845036;0,00700928
feature importances;INFO1+EUSES;1;0,01895052;0,00244449;0,00458059;0,00337476;0,01010752;0,02236257;0,00057988;0,01740667;0,04894739;0,02202868;0,00636927;0,00036415;0,01788118;0,01311086;0,01753399;0,01141813;0,00336084;0,00127765;0,02945503;0,02247767;0,00097956;0,00024489;0,00269972;0,00188240;0,00147219;0,00008071;0,01787995;0,01315722;0,01137950;0,04464602;0,00544798;0,00109762;0,00190516;0,05702693;0,00817001;0,00178756;0,00152902;0,03917366;0,03034711;0,05010358;0,00019279;0,01352641;0,01431738;0,03762859;0,00135549;0,00358432;0,02263726;0,03970196;0,03176654;0,00000260;0,00000000;0,02268960;0,00395074;0,00000000;0,05530208;0,02158844;0,01319697;0,03855790;0,01040207;0,02478207;0,00367683;0,02115335;0,04455945;0,01038452
feature importances;INFO1+EUSES;2;0,02243511;0,00245621;0,00515208;0,00872085;0,01695076;0,02103280;0,00070333;0,01744415;0,04804226;0,02561851;0,01215123;0,00041868;0,01224151;0,01332662;0,03973798;0,01294650;0,01903584;0,00153876;0,03239154;0,02236319;0,00104582;0,00183611;0,00329304;0,00109856;0,00088715;0,00014812;0,01285307;0,00063511;0,01011163;0,03003550;0,01095166;0,00083358;0,00136514;0,03324749;0,00625820;0,00037731;0,00015293;0,04315590;0,02390049;0,04645730;0,00138583;0,01765394;0,02833957;0,01805188;0,00300263;0,00032044;0,02510027;0,04055660;0,01941028;0,00000196;0,00000000;0,01784343;0,00367866;0,00000000;0,04008100;0,03430832;0,01665134;0,03767154;0,00885671;0,02395064;0,00774974;0,05365633;0,03570438;0,00267249
feature importances;INFO1+EUSES;3;0,01980737;0,00202899;0,00421436;0,00446865;0,01028172;0,01105402;0,00086045;0,01965692;0,04637384;0,02297911;0,00582664;0,00615288;0,01149748;0,00410948;0,04725094;0,01792112;0,00798242;0,00105650;0,01862907;0,03521810;0,00290479;0,00105384;0,00310274;0,00092291;0,00120879;0,00015226;0,02685247;0,00229028;0,01021666;0,03523504;0,00596425;0,00085278;0,00223086;0,04040324;0,00716364;0,00240045;0,00155780;0,06163552;0,03613322;0,03834486;0,00035068;0,00996871;0,01186685;0,02762114;0,00296291;0,00445457;0,03319893;0,05011172;0,03023477;0,00000000;0,00000000;0,01269920;0,00181682;0,00000000;0,02749961;0,03530531;0,01270942;0,04061253;0,00530812;0,03973034;0,00445634;0,02024323;0,04550629;0,00534602
feature importances;INFO1+EUSES;4;0,02042812;0,00433315;0,00713186;0,00480069;0,01245436;0,01583579;0,00101013;0,01995717;0,05389881;0,02423338;0,00429709;0,00028736;0,02195809;0,00739091;0,02914590;0,01184537;0,01561708;0,00143523;0,02369654;0,02392906;0,00131768;0,00054380;0,00640482;0,00085223;0,00116472;0,00002913;0,02196639;0,00458699;0,01702146;0,04025359;0,00719744;0,00187892;0,00193198;0,03392610;0,00183749;0,00385761;0,00000000;0,05246088;0,03514017;0,05156332;0,00126030;0,00913621;0,00787138;0,02861621;0,00739758;0,00457831;0,02351570;0,04974342;0,00677534;0,00000508;0,00000000;0,02692170;0,00348316;0,00000000;0,00911376;0,03027344;0,03319991;0,05286268;0,01032982;0,04285350;0,00583670;0,01742585;0,03700096;0,00417820
feature importances;INFO1+EUSES;5;0,03231014;0,00335837;0,00323841;0,00427924;0,02060982;0,01227380;0,00371632;0,01835584;0,04453483;0,02477856;0,00891769;0,00250079;0,01852054;0,01411463;0,05237762;0,01290472;0,00309734;0,00134176;0,02936705;0,02144312;0,00138389;0,00136419;0,00536808;0,00102436;0,00149091;0,00003703;0,02265332;0,01119076;0,01017594;0,03417831;0,00564328;0,00036724;0,00218691;0,04819098;0,00249149;0,01739894;0,00373122;0,03818066;0,02347672;0,04405897;0,00092268;0,01057514;0,01389330;0,00995636;0,00274220;0,00027091;0,02750618;0,04395883;0,01033868;0,00000000;0,00000000;0,01738670;0,00235170;0,00000000;0,02751477;0,04612495;0,01553482;0,04469200;0,01500821;0,02964219;0,00854431;0,01243176;0,03211203;0,02185847
feature importances;INFO1+EUSES;6;0,01732360;0,00303249;0,01465818;0,00386872;0,01845030;0,01362073;0,00098639;0,02167034;0,04785283;0,02498805;0,01040654;0,00121695;0,00219640;0,00492131;0,02778651;0,01572492;0,02228511;0,00110695;0,01775512;0,02659949;0,00099533;0,00255429;0,00677778;0,00052195;0,00066406;0,00012929;0,03536510;0,00223952;0,01145587;0,03861186;0,00508244;0,00071840;0,00305703;0,04325065;0,00175735;0,00084677;0,00165264;0,03575593;0,01869761;0,07305714;0,00187642;0,01100874;0,02134008;0,02753217;0,00825451;0,00233056;0,02736663;0,04416473;0,01582293;0,00000000;0,00000000;0,01886548;0,00191148;0,00000000;0,01595449;0,06184098;0,02589699;0,02651911;0,00987068;0,03748696;0,00760707;0,01819983;0,03062946;0,00587879
feature importances;INFO1+EUSES;7;0,02089439;0,00285051;0,00286182;0,00373585;0,02643240;0,01526621;0,00077775;0,01560721;0,04427071;0,02585056;0,01934272;0,00080444;0,00443377;0,02122044;0,02056895;0,01879049;0,01440945;0,00168860;0,01809055;0,03101074;0,00063938;0,00063102;0,00689337;0,00061214;0,00061396;0,00002035;0,01503674;0,00820357;0,01453773;0,02749417;0,01388396;0,00062434;0,00176479;0,02117842;0,00131262;0,01828725;0,00074615;0,03918501;0,03542797;0,06137706;0,00128574;0,00779635;0,01632650;0,02763010;0,00141051;0,00094727;0,02183582;0,04760858;0,00747798;0,00000000;0,00000000;0,02330961;0,00420767;0,00000000;0,03513899;0,02108508;0,02387947;0,05265956;0,01179712;0,02660818;0,00319215;0,01410404;0,06466411;0,00965764
feature importances;INFO1+EUSES;8;0,02298828;0,00283230;0,00823726;0,00540308;0,01105521;0,01088961;0,00062763;0,01862963;0,04466008;0,02450970;0,01753995;0,00090708;0,00805109;0,01586437;0,05741368;0,02028332;0,00635950;0,00132418;0,01667214;0,03426843;0,00613953;0,00832033;0,00376315;0,00097987;0,00067344;0,00020477;0,01409290;0,00324861;0,01302149;0,02458938;0,02981427;0,00040754;0,00316713;0,02494893;0,00016517;0,00388626;0,00221971;0,01097724;0,03315186;0,05388109;0,00059121;0,02698649;0,00598203;0,02086061;0,00212448;0,01050606;0,03501538;0,04495560;0,00930541;0,00000953;0,00000000;0,02423799;0,00397520;0,00000000;0,04796603;0,02731851;0,03031765;0,02881343;0,00525421;0,01780651;0,00569227;0,03347130;0,04754087;0,00510003
feature importances;INFO1+EUSES;9;0,02121474;0,00281301;0,01730522;0,00474296;0,01065401;0,01064129;0,00339332;0,01982209;0,04412473;0,02180873;0,01432354;0,00074400;0,01345435;0,00927186;0,03653107;0,02123135;0,01295868;0,00202754;0,01853524;0,02749930;0,00070838;0,00027876;0,00413420;0,00087219;0,00073059;0,00016354;0,01737802;0,01427421;0,00981719;0,04275278;0,00567154;0,00022883;0,00188488;0,03492280;0,00162099;0,00036280;0,00309703;0,06319402;0,01918472;0,04458921;0,00035603;0,00591927;0,01969250;0,02714935;0,00905553;0,00401299;0,02823452;0,04076970;0,02100768;0,00000000;0,00000000;0,02016400;0,00557303;0,00000000;0,02992613;0,03582764;0,01299183;0,04874790;0,00973564;0,01620280;0,00276344;0,02259763;0,04320916;0,01709954
