Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;INFO1;0;0,02990210;0,00450919;0,01310295;0,00493571;0,00392058;0,00277601;0,00002332;0,00370295;0,01814496;0,03521443;0,00552411;0,00277326;0,00823618;0,00554619;0,00753614;0,01367683;0,01974102;0,00000000;0,00850728;0,04174262;0,00079847;0,00097348;0,00820054;0,00048757;0,00000000;0,00697078;0,02160803;0,00069917;0,00883105;0,03597946;0,01381321;0,00008844;0,00000000;0,04637435;0,00074156;0,00218768;0,00334519;0,05635199;0,07448595;0,02936945;0,00000996;0,02917460;0,02003136;0,00334504;0,00310159;0,00073218;0,08559597;0,04969485;0,02140648;0,00000000;0,00000000;0,01805787;0,00881222;0,00000000;0,03227711;0,02079200;0,02064795;0,02498334;0,00065877;0,02101313;0,00069741;0,06129156;0,03133014;0,00552429
feature importances;INFO1;1;0,03622597;0,00474823;0,00859926;0,01213748;0,00562215;0,03065495;0,00126189;0,00396599;0,01865035;0,01511585;0,00609022;0,00364664;0,01210383;0,00265481;0,01228079;0,01340663;0,00297435;0,00000094;0,03219613;0,01554200;0,00047343;0,00053209;0,00879434;0,00001296;0,00019734;0,00879911;0,01580362;0,00022990;0,00560453;0,05099329;0,00515677;0,00028448;0,00005462;0,03777647;0,00142761;0,01155670;0,00619818;0,06960957;0,01398874;0,05944302;0,00112842;0,00517661;0,04557153;0,01224276;0,00121446;0,00551577;0,06155772;0,09373145;0,00445741;0,00000000;0,00000000;0,01691649;0,00654926;0,00000000;0,01678541;0,02738225;0,02166055;0,03542767;0,00005026;0,04171367;0,00320509;0,03341929;0,02490664;0,00657204
feature importances;INFO1;2;0,02914803;0,00452326;0,00429394;0,01644198;0,01880785;0,02308538;0,00029672;0,00327189;0,01695837;0,01682984;0,00683585;0,00106810;0,03106390;0,00922083;0,00335644;0,02904449;0,00754982;0,00000043;0,01550759;0,02490462;0,00053584;0,00007869;0,00737522;0,00003217;0,00000000;0,00501840;0,01598824;0,00111975;0,00391034;0,06142661;0,00396938;0,00122448;0,00000000;0,01995383;0,00734096;0,00471982;0,00000838;0,06613973;0,02336544;0,04685633;0,00015051;0,06015668;0,00674423;0,01043696;0,00783264;0,00345012;0,03268429;0,08399595;0,02775151;0,00000000;0,00000000;0,00846015;0,00991059;0,00000000;0,02653183;0,04797099;0,03507932;0,02015321;0,00008213;0,01985578;0,00082842;0,01793853;0,04159582;0,00711738
feature importances;INFO1;3;0,03354851;0,00356764;0,00064585;0,00557558;0,00707075;0,00413372;0,00161976;0,00564069;0,02961775;0,02843877;0,01937650;0,00381326;0,01606063;0,00546475;0,01216189;0,02710563;0,00903774;0,00006539;0,00765685;0,04751049;0,00037620;0,00013634;0,01297955;0,00000677;0,00000219;0,00440916;0,01180393;0,00089811;0,00716400;0,02445174;0,00469503;0,00128179;0,00000000;0,02779349;0,00488047;0,00046816;0,00611451;0,04134970;0,03480365;0,04047852;0,00004201;0,04177435;0,03217571;0,01392899;0,01838521;0,00904868;0,03931280;0,09690025;0,02390838;0,00000000;0,00000000;0,00983865;0,01298336;0,00000000;0,03379004;0,03462290;0,01077882;0,02930025;0,00064036;0,01092723;0,00156306;0,05307218;0,01834280;0,01645852
feature importances;INFO1;4;0,03193389;0,00549200;0,00120382;0,00199657;0,00488780;0,00560435;0,00130197;0,00639068;0,02792772;0,02579567;0,00557702;0,00064218;0,01426701;0,00421964;0,00193799;0,01085289;0,01699113;0,00000000;0,01344238;0,03121571;0,00035325;0,00324219;0,00414769;0,00026384;0,00001183;0,01356289;0,03048040;0,00083529;0,00342683;0,03984887;0,00537340;0,00225318;0,00000000;0,03424215;0,02435603;0,00019026;0,00149905;0,03286054;0,05310031;0,06295369;0,00003109;0,01397409;0,03320092;0,03442514;0,00243984;0,00887136;0,04752453;0,07618129;0,00675747;0,00000000;0,00000000;0,01765348;0,01366636;0,00000000;0,03743191;0,02667198;0,02497756;0,02254380;0,00043701;0,03720308;0,00296007;0,03844128;0,02181224;0,00811340
feature importances;INFO1;5;0,04647889;0,00478559;0,01413089;0,00436153;0,00127784;0,00835791;0,00596888;0,00331418;0,01743679;0,01512756;0,00250942;0,00016124;0,01382362;0,00222549;0,00332619;0,03231494;0,00455095;0,00000081;0,02491825;0,02661214;0,00305576;0,00014770;0,01561283;0,00269031;0,00000000;0,00421413;0,01756754;0,00694930;0,00252208;0,03362752;0,00348764;0,00002941;0,00000000;0,04254917;0,01230229;0,00481723;0,00200026;0,05017966;0,05237548;0,04887068;0,00006518;0,01604512;0,01840900;0,00569771;0,01322114;0,00056275;0,08665256;0,04719813;0,01576260;0,00000000;0,00000000;0,05223508;0,00337399;0,00000000;0,03029826;0,01294518;0,02328587;0,01479640;0,00777899;0,02450751;0,00414012;0,03700296;0,03401524;0,01732410
feature importances;INFO1;6;0,03320152;0,00406659;0,01112633;0,00610624;0,01699143;0,01117000;0,00074283;0,00480180;0,03036867;0,01931355;0,01502224;0,00177813;0,00757333;0,00562192;0,00640572;0,00659499;0,00785297;0,00000425;0,01108626;0,03052340;0,00262497;0,00079910;0,01018725;0,00001809;0,00000402;0,00623595;0,00807931;0,00561675;0,00386109;0,05159294;0,00308729;0,00050268;0,00000000;0,04190356;0,00264021;0,01556369;0,00113598;0,05987391;0,02699163;0,08876074;0,00004182;0,02019423;0,00770204;0,02949640;0,00267547;0,00451283;0,05305554;0,09846224;0,00717522;0,00000000;0,00000000;0,01074928;0,00910459;0,00000000;0,02913015;0,02862970;0,02543605;0,01485279;0,00035917;0,03686115;0,01031721;0,01609365;0,02381967;0,01149948
feature importances;INFO1;7;0,03226233;0,00418191;0,01074429;0,01395816;0,00222446;0,00285354;0,00016338;0,00454926;0,02085550;0,02206183;0,01403277;0,00248363;0,01014629;0,00756334;0,00736409;0,01386212;0,01389515;0,00000332;0,01232573;0,02366032;0,00053610;0,00837248;0,00748877;0,00018802;0,00000000;0,00697977;0,02148982;0,00471779;0,00501129;0,03618129;0,00629069;0,00005537;0,00000000;0,05896223;0,00001545;0,00217258;0,00634826;0,07070089;0,05943738;0,04951761;0,00000000;0,05037949;0,00775722;0,00638129;0,00272727;0,00640327;0,03962939;0,06770247;0,00899563;0,00000000;0,00000000;0,00995983;0,00469981;0,00000000;0,02748741;0,02939125;0,01240075;0,04260884;0,00013932;0,01619481;0,01724289;0,01601855;0,05603316;0,01419014
feature importances;INFO1;8;0,03335607;0,00312907;0,00196122;0,01483366;0,01719340;0,01741581;0,00236338;0,00424368;0,01482145;0,01818052;0,00575993;0,00120372;0,01147907;0,01555295;0,00467826;0,03222933;0,00635128;0,00000206;0,01899431;0,02257949;0,00167443;0,00031456;0,00896101;0,00188117;0,00024911;0,01257631;0,01772518;0,00252847;0,00425544;0,04246528;0,00234445;0,00118310;0,00000000;0,04123173;0,00001778;0,01491531;0,00190226;0,03815279;0,05762528;0,06009671;0,00001971;0,04933123;0,01936913;0,00355155;0,00162951;0,00263343;0,04728345;0,05844719;0,02204857;0,00000000;0,00000000;0,02319524;0,01135846;0,00000000;0,03406241;0,02158146;0,02800297;0,02589900;0,00082760;0,00843828;0,00119934;0,03770105;0,04485300;0,00213840
feature importances;INFO1;9;0,02940547;0,00664946;0,00225582;0,00494093;0,00828521;0,00201481;0,00009584;0,00325261;0,01567744;0,02479529;0,02151511;0,00190563;0,01078410;0,00850458;0,01175068;0,03054815;0,01708271;0,00000093;0,01287134;0,02876132;0,00051699;0,00905503;0,00527005;0,00004237;0,00009197;0,00690479;0,02487888;0,00322247;0,00435669;0,04782601;0,00327328;0,00038807;0,00000000;0,04474401;0,00905803;0,01843865;0,00371297;0,05364936;0,03091784;0,05817354;0,00092450;0,02971203;0,02043240;0,00525365;0,00220878;0,00677288;0,03385288;0,05045672;0,00440565;0,00000000;0,00000000;0,03119885;0,00653322;0,00000000;0,02384303;0,03631156;0,01653214;0,03815064;0,00034293;0,02458421;0,00166286;0,04992224;0,03694862;0,01433177
feature importances;INFO1;10;0,02987282;0,00361502;0,00494620;0,00782951;0,01102488;0,00212250;0,00064660;0,00347480;0,02517675;0,02605458;0,03033158;0,00079748;0,03026944;0,00813415;0,00492158;0,02142100;0,00726561;0,00000365;0,03044086;0,03202328;0,00208707;0,00223761;0,00681200;0,00049094;0,00000000;0,00246999;0,00847563;0,00616269;0,00299286;0,02539723;0,00410567;0,00167805;0,00000000;0,04570180;0,00012661;0,01862138;0,00727534;0,04031018;0,07870766;0,04232711;0,00000000;0,02914294;0,02906775;0,01402757;0,00830575;0,00071288;0,05608070;0,05029095;0,00520157;0,00000000;0,00000000;0,00754071;0,00767265;0,00000000;0,01697991;0,01708184;0,01474292;0,02743624;0,00009350;0,04680921;0,01964990;0,02595657;0,02807361;0,01878073
feature importances;INFO1;11;0,02236795;0,00366021;0,00318636;0,00396308;0,00878621;0,00274126;0,00189435;0,00539036;0,01734248;0,02102710;0,02489874;0,00898971;0,01401711;0,00646799;0,01001025;0,00321892;0,01088181;0,00000114;0,02133744;0,02844012;0,00039506;0,00008995;0,01236894;0,00006450;0,00000000;0,00785241;0,01608978;0,00106829;0,01055369;0,03828266;0,00289552;0,00000000;0,00000000;0,05798768;0,00111896;0,00175156;0,00357017;0,04303774;0,04853952;0,03061773;0,00016372;0,04094796;0,02046479;0,04282916;0,00557766;0,00126834;0,04064766;0,07093792;0,01315244;0,00000000;0,00000000;0,01941049;0,00456628;0,00000000;0,02763077;0,01324945;0,03580399;0,05434536;0,00003511;0,02012729;0,00451788;0,02911589;0,05392900;0,00637206
feature importances;INFO1;12;0,03262724;0,00337619;0,01578953;0,01895571;0,01499689;0,00195207;0,00007002;0,00375256;0,02697288;0,02763816;0,00502198;0,00047887;0,01457094;0,00453998;0,00933248;0,01796856;0,00348174;0,00002148;0,01009792;0,03200612;0,00138260;0,00152057;0,00807870;0,00021064;0,00000000;0,00698904;0,01182581;0,00000890;0,01193334;0,02763373;0,00592841;0,00251359;0,00000000;0,06543736;0,00172658;0,00520071;0,00550452;0,04582613;0,06871231;0,03636051;0,00030809;0,03542419;0,01317235;0,03844109;0,00118173;0,00083995;0,04984942;0,06535093;0,00909627;0,00000000;0,00000000;0,02705060;0,00237816;0,00000000;0,02241841;0,02649710;0,01461426;0,03896664;0,00643181;0,02245033;0,00198740;0,03231253;0,02566980;0,01511417
feature importances;INFO1;13;0,03032161;0,00514690;0,00350158;0,00403726;0,02143297;0,01296366;0,00141707;0,00403029;0,02025519;0,01834226;0,01074155;0,00163859;0,00870196;0,00267135;0,01325899;0,01902715;0,00702767;0,00014803;0,01027778;0,01606303;0,00008222;0,00658875;0,00898212;0,00028463;0,00015258;0,00728121;0,01269273;0,00306300;0,01254331;0,04714060;0,00603696;0,00014986;0,00000000;0,03775360;0,00620195;0,00378076;0,00178384;0,05875915;0,04085142;0,09663719;0,00006394;0,01047391;0,02841488;0,02671275;0,00019489;0,00471065;0,07215317;0,04842135;0,00833184;0,00000000;0,00000000;0,00457197;0,00551167;0,00000000;0,04105421;0,03394265;0,02249212;0,05213168;0,00024306;0,01030987;0,00706861;0,02664833;0,01898205;0,01579563
feature importances;INFO1;14;0,04496789;0,00385548;0,00175371;0,00855560;0,00830103;0,01319888;0,00103294;0,00646304;0,01862184;0,01937195;0,00398269;0,00253777;0,02460712;0,00752870;0,00273652;0,01383514;0,01545403;0,00000000;0,01155002;0,02167243;0,00114727;0,00194193;0,01251988;0,00014252;0,00004169;0,00801637;0,02672551;0,00719711;0,00293877;0,04404715;0,00421531;0,00314165;0,00000000;0,04475693;0,00020745;0,00167319;0,00995359;0,07627103;0,02686200;0,06156269;0,00006868;0,03869475;0,00885139;0,03986607;0,00264902;0,00041527;0,03327173;0,06204595;0,01493146;0,00000000;0,00000000;0,02589800;0,00744003;0,00000000;0,02688695;0,04849612;0,02647030;0,03125844;0,00432077;0,00987549;0,00336820;0,01590459;0,01819213;0,01770586
feature importances;INFO1;15;0,03237834;0,00363806;0,00765077;0,00286178;0,02959862;0,00434922;0,00804073;0,00368069;0,01958424;0,02084279;0,01387249;0,00053667;0,01684280;0,00709550;0,00495934;0,01951877;0,01228605;0,00000356;0,01408074;0,02715667;0,00204647;0,00108432;0,00546824;0,00000797;0,00000000;0,00619670;0,03780219;0,00523019;0,00416923;0,04057401;0,00479556;0,00043912;0,00000000;0,03705445;0,00619816;0,00002716;0,00040239;0,04038567;0,06640164;0,03163018;0,00047803;0,01088167;0,01505452;0,05369691;0,00137518;0,00212841;0,07299747;0,06106616;0,01230651;0,00000000;0,00000000;0,03068808;0,00600592;0,00000000;0,03121719;0,02338776;0,01211574;0,04172425;0,00100205;0,02468867;0,00322886;0,02222432;0,03277147;0,00206932
feature importances;INFO1;16;0,02543439;0,00393724;0,00486648;0,00748570;0,00282751;0,01250937;0,00210252;0,00422271;0,02497607;0,02058482;0,01795478;0,00086156;0,01475028;0,00913689;0,00305358;0,00414476;0,00984375;0,00018188;0,00730032;0,03111542;0,00012029;0,00304053;0,01525589;0,00000770;0,00000000;0,00349815;0,01272313;0,00178661;0,00660356;0,05475607;0,00567951;0,00088754;0,00000000;0,03966530;0,00654652;0,00000000;0,00600220;0,04441080;0,08596639;0,03560485;0,00001097;0,04728747;0,01769288;0,02338274;0,01413246;0,00486082;0,05423097;0,04619412;0,01873714;0,00000000;0,00000000;0,03611964;0,00332734;0,00000000;0,01211373;0,04521508;0,02208470;0,03089730;0,00030877;0,01964321;0,00257632;0,02067191;0,03625719;0,01441015
feature importances;INFO1;17;0,02467614;0,00381881;0,00172988;0,00365153;0,00712821;0,01680112;0,00469425;0,00337820;0,02150701;0,02514240;0,01419210;0,00024642;0,03427251;0,01086085;0,01428868;0,03202045;0,00805975;0,00000000;0,01090757;0,03434188;0,00047934;0,00173635;0,00944547;0,00004086;0,00000438;0,00765550;0,02480804;0,00980537;0,01380273;0,03904028;0,01761805;0,00010020;0,00042182;0,03013381;0,00498147;0,00712339;0,00773097;0,04058907;0,02788280;0,08251845;0,00042292;0,02048094;0,03850639;0,01960394;0,00387091;0,00313525;0,02282747;0,05993313;0,00252088;0,00000000;0,00000000;0,02441959;0,00192668;0,00000000;0,01848355;0,02603493;0,02649678;0,02545955;0,00180828;0,03871021;0,00227779;0,02393320;0,01554166;0,02596989
